week,vteam,hteam,vscore,hscore,fspread,fscore,temp,wind_mph,vdflg,hdflg,divgame,nsite,vospread,hospread,ouopen,vcspread,hcspread,ouclose,vTOTAL.DVOA,vTOTAL.RNK,vOFF.RNK,vOFF.DVOA,vDEF.RNK,vDEF.DVOA,vST.RNK,vST.DVOA,hTOTAL.DVOA,hTOTAL.RNK,hOFF.RNK,hOFF.DVOA,hDEF.RNK,hDEF.DVOA,hST.RNK,hST.DVOA,vtsw,vtsl,vtst,htsw,htsl,htst,vtw,vtl,vtt,vts,htw,htl,htt,hts,sWinner,winner,ou
1,HOU,KC,20,34,-14,54,58,6,-1,-1,0,0,9.5,-9.5,54,9.5,-9.5,53.5,-1.7,19,20,0,25,3,5,1.2,20.3,2,1,18.3,16,-0.1,2,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,MIA,NE,11,21,-10,32,73,6,-1,-1,1,0,7,-7,43,7,-7,41.5,-14.9,31,30,-8.9,29,5.2,24,-0.8,-0.8,17,14,1.5,27,3.9,3,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1
1,CLE,BAL,6,38,-32,44,75,5,-1,-1,1,0,8.5,-8.5,48.5,7,-7,47.5,-4.8,24,19,0,28,4.3,17,-0.5,13.7,3,5,8.5,9,-2.3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1
1,NYJ,BUF,17,27,-10,44,65,12,-1,-1,1,0,6,-6,39.5,6.5,-6.5,39,-12.4,28,31,-13.4,17,0,7,1,-2.1,20,27,-8.2,1,-6.6,16,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,LV,CAR,34,30,4,64,79,3,-1,-1,0,0,-1.5,1.5,47,-3,3,48,-4.5,23,21,-2.9,21,0.6,27,-1,-14.3,29,22,-3.1,32,10,28,-1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1
1,SEA,ATL,38,25,13,63,72,0,-1,-1,0,0,1,-1,49.5,-1,1,49.5,7.7,6,4,8.5,18,0,25,-0.8,5.1,11,8,5.1,14,-0.6,19,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1
1,PHI,WAS,17,27,-10,44,76,4,-1,-1,1,0,-6.5,6.5,44,-5.5,5.5,41.5,5.1,10,15,1.3,4,-4.4,18,-0.6,-19.1,32,32,-18.9,23,1,10,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,CHI,DET,27,23,4,50,72,0,-1,-1,1,0,1,-1,43.5,2.5,-2.5,42.5,-3.1,22,25,-7.1,7,-3.6,13,0.4,1.1,14,16,1,19,0.3,12,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1
1,IND,JAX,20,27,-7,47,86,8,-1,-1,1,0,-6.5,6.5,44.5,-7,7,44,6.7,7,9,4.9,12,-1.2,11,0.5,-10.5,27,28,-8.6,26,3.1,6,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,GB,MIN,43,34,9,77,72,0,-1,-1,1,0,3,-3,46,1.5,-1.5,44.5,-0.3,16,7,5.7,30,5.3,23,-0.7,-1,18,18,0.2,20,0.6,21,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1
1,LAC,CIN,16,13,3,29,83,4,-1,-1,0,0,-3,3,44,-2,2,41,-2.6,21,23,-4.4,8,-3.2,31,-1.4,-14.5,30,29,-8.9,31,6.5,9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
1,ARI,SF,24,20,4,44,71,6,-1,-1,1,0,7,-7,46.5,6.5,-6.5,48.5,1,15,12,2,15,-0.2,29,-1.2,4.7,12,17,0.4,5,-4.2,14,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
1,TB,NO,23,34,-11,57,72,0,-1,-1,1,0,4,-4,49.5,4,-4,48.5,8.8,4,6,6,6,-4.1,30,-1.3,23,1,2,16.7,2,-5.4,8,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,DAL,LAR,17,20,-3,37,72,0,-1,-1,0,0,-2.5,2.5,49.5,0,0,52,6.4,8,3,9.4,24,1.3,32,-1.7,5.2,9,11,3.5,10,-2.3,22,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1
1,PIT,NYG,26,16,10,42,70,10,-1,-1,0,0,-3.5,3.5,46.5,-6,6,44,8.7,5,10,4.8,3,-4.5,20,-0.6,-6.1,25,24,-6.7,22,0.7,4,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
1,TEN,DEN,16,14,2,30,78,7,-1,-1,0,0,1,-1,42,-3,3,41,2,13,13,1.6,13,-0.8,15,-0.4,-6.8,26,26,-7.9,11,-2.1,26,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1
2,CIN,CLE,30,35,-5,65,64,6,4,4,1,0,7.5,-7.5,46,6,-6,43.5,-15.5,31,29,-33.2,11,-8.5,20,-3.7,-12,27,31,-57.5,31,33.3,31,-16.8,0,1,0,0,1,0,0,1,0,-1,0,1,0,-1,-1,1,1
2,LAR,PHI,37,19,18,56,62,8,7,7,0,0,3.5,-3.5,48.5,2,-2,46,3.9,10,13,7.4,20,9.5,28,-11.4,1.9,13,32,-71.3,4,-33.6,18,-3.4,1,0,0,0,1,0,1,0,0,1,0,1,0,-1,-1,-1,1
2,CAR,TB,17,31,-14,48,87,14,7,7,1,0,8,-8,48.5,8,-8,47,-13.1,28,8,23.3,27,24,4,3.2,7.1,6,25,-16.1,8,-16.4,30,-16.7,0,1,0,0,1,0,0,1,0,-1,0,1,0,-1,1,1,1
2,DEN,PIT,21,26,-5,47,64,2,6,6,0,0,5.5,-5.5,43,6.5,-6.5,41,-7.5,25,23,-13.3,19,3.9,11,0.1,10.6,4,14,6.5,2,-39,27,-9.4,1,0,0,1,0,0,0,1,0,-1,1,0,0,1,-1,1,1
2,ATL,DAL,39,40,-1,79,73,7,7,7,0,0,7,-7,50,2.5,-2.5,53.5,2.9,12,10,11.8,32,38.9,10,1.1,6,7,12,9.2,18,3.9,23,-5.1,0,1,0,0,1,0,0,1,0,-1,0,1,0,-1,-1,1,1
2,SF,NYJ,31,13,18,44,61,9,7,7,0,0,-6,6,43.5,-7,7,41.5,3.9,9,18,2.3,14,0.6,24,-7.8,-14,29,26,-21.1,16,2.7,29,-11.4,0,1,0,0,1,0,0,1,0,-1,0,1,0,-1,-1,-1,1
2,BUF,MIA,31,28,3,59,89,7,7,7,1,0,-3.5,3.5,43,-5.5,5.5,42.5,-0.7,19,17,2.6,7,-19,22,-4.8,-17.3,32,27,-23.2,29,28.3,8,2.6,1,0,0,0,1,0,1,0,0,1,0,1,0,-1,1,-1,1
2,MIN,IND,11,28,-17,39,72,0,7,7,0,0,2.5,-2.5,46,3.5,-3.5,49,-0.2,17,6,28.2,26,20.1,6,2.6,4.3,8,15,3.8,28,26,21,-4.8,0,1,0,0,1,0,0,1,0,-1,0,1,0,-1,1,1,-1
2,DET,GB,21,42,-21,63,67,11,7,7,1,0,6,-6,46,6.5,-6.5,51,1.1,14,21,-0.3,15,1.2,9,1.4,-0.7,18,7,24.2,30,28.7,12,-0.4,0,1,0,1,0,0,0,1,0,-1,1,0,0,1,1,1,1
2,NYG,CHI,13,17,-4,30,65,9,6,7,0,0,5.5,-5.5,43,4.5,-4.5,43,-9.5,26,30,-45.4,22,11.9,7,2.6,-2.8,22,19,0.9,12,-1.6,16,-2.2,0,1,0,1,0,0,0,1,0,-1,1,0,0,1,-1,1,-1
2,JAX,TEN,30,33,-3,63,73,5,7,6,1,0,-4,4,11,7,-7,45,-7.1,24,4,35.8,13,0.5,5,2.8,0.9,15,16,3.4,10,-11.1,32,-28.7,1,0,0,0,1,0,1,0,0,1,1,0,0,1,-1,1,1
2,WAS,ARI,15,30,-15,45,72,0,7,7,0,0,6,-6,46.5,7,-7,46.5,-15.3,30,28,-32.6,1,-69.4,13,-0.8,0.5,16,20,0.5,17,2.9,17,-2.8,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,-1
2,BAL,HOU,33,16,17,49,74,15,7,10,0,0,-5.5,5.5,53.5,-7.5,7.5,49,18.9,2,1,39.9,3,-38.7,2,9.4,-2.3,21,11,11.1,24,16.7,19,-3.6,1,0,0,0,1,0,1,0,0,1,0,1,0,-1,-1,-1,0
2,KC,LAC,23,20,3,43,72,0,10,7,1,0,-6.5,6.5,50.5,-8.5,8.5,47.5,18.8,3,9,17.6,25,17.5,14,-1.3,-2.2,20,22,-7.6,6,-20.4,26,-8.7,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,-1,-1
2,NE,SEA,30,35,-5,65,68,3,7,7,0,0,3,-3,44,4.5,-4.5,45,3,11,3,36.4,5,-23.8,25,-7.9,9.7,5,2,38.6,21,9.5,3,7.8,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1
2,NO,LV,24,34,-10,58,72,0,8,8,0,0,-4.5,4.5,50.5,-3.5,3.5,47,22.2,1,24,-13.7,9,-14.3,1,10.2,-3.3,23,5,31.7,23,16.5,15,-1.4,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1
3,MIA,JAX,31,13,18,44,80,8,4,4,0,0,1.5,-1.5,44,2.5,-2.5,49,-18,32,22,-7.4,32,34.6,2,6.6,-8.2,24,6,21.9,27,12.7,24,-3.9,1,1,0,2,0,0,0,2,0,-2,1,1,0,-1,-1,-1,-1
3,LV,NE,20,36,-16,56,76,7,6,7,0,0,3.5,-3.5,48,7,-7,47,-5.1,23,10,10.4,30,18.8,14,-0.1,1.1,14,4,27.5,19,6.9,30,-9,2,0,0,1,1,0,2,0,0,2,1,1,0,-1,1,1,1
3,LAR,BUF,32,35,-3,67,75,13,7,7,0,0,3,-3,44.5,2,-2,46.5,7.9,7,3,30.8,14,-1.4,29,-8.5,1.8,13,7,20.7,12,-5,20,-2.2,2,0,0,1,1,0,2,0,0,2,2,0,0,2,1,1,1
3,HOU,PIT,21,28,-7,49,76,3,7,7,0,0,5.5,-5.5,45,3.5,-3.5,46.5,-3.8,21,18,-4.5,25,11.4,13,0.5,12.3,4,14,-1.1,2,-35.3,19,-1.9,0,2,0,1,1,0,0,2,0,-2,2,0,0,2,1,1,1
3,SF,NYG,36,9,27,45,77,4,7,7,0,0,-6.5,6.5,42.5,-3,3,44,0.5,16,20,-5.5,9,-9.4,18,-1.4,-9.1,25,31,-36.3,7,-12.1,8,2.3,1,1,0,1,1,0,1,1,0,1,0,2,0,-2,-1,-1,1
3,TEN,MIN,31,30,1,61,72,0,7,7,0,0,-1,1,45.5,-2.5,2.5,49,2.4,12,9,13.5,16,-0.8,31,-9.5,-4.9,22,25,-13.1,20,7,17,-1.4,0,2,0,0,2,0,2,0,0,2,0,2,0,-2,1,-1,1
3,WAS,CLE,20,34,-14,54,77,13,7,10,0,0,4,-4,45.5,7,-7,45,-16.1,30,30,-32.6,1,-36.2,21,-2.6,-9.3,26,26,-15.7,21,7.5,32,-11.8,1,1,0,0,2,0,1,1,0,-1,1,1,0,1,1,1,1
3,CIN,PHI,23,23,0,46,76,3,10,7,0,0,5.5,-5.5,45.5,5.5,-5.5,47,-16.1,29,27,-20.9,22,7.6,6,3.5,-2.1,17,32,-37.6,18,6.4,11,1.1,1,1,0,0,2,0,0,2,0,-2,0,2,0,-2,-1,0,-1
3,CHI,ATL,30,26,4,56,72,0,7,7,0,0,3,-3,48,2.5,-2.5,46.5,-2.9,20,24,-12.6,6,-14.9,23,-3.9,2.9,11,13,3.8,28,15.5,9,2.1,1,1,0,1,1,0,2,0,0,2,0,2,0,-2,-1,-1,1
3,NYJ,IND,7,36,-29,43,72,0,7,7,0,0,6.5,-6.5,45,11.5,-11.5,44,-14.6,27,29,-27.3,11,-5.9,25,-5.7,7.7,8,21,-6.6,5,-18.2,10,1.5,0,2,0,1,1,0,0,2,0,-2,1,1,0,1,1,1,-1
3,CAR,LAC,21,16,5,37,72,0,7,7,0,0,6,-6,44,6,-6,43.5,-17.8,31,15,-1.1,29,18.2,16,-1.3,-2.6,19,17,-2.1,13,-3.6,26,-6,0,2,0,2,0,0,0,2,0,-2,1,1,0,-1,-1,-1,-1
3,DET,ARI,26,23,3,49,72,0,7,7,0,0,3.5,-3.5,51,5,-5,55.5,-2.2,18,16,-1.3,31,22.6,7,2.6,0.8,15,23,-8.9,8,-9.5,15,-0.5,0,2,0,2,0,0,0,2,0,-2,2,0,0,2,-1,-1,-1
3,TB,DEN,28,10,18,38,54,4,7,7,0,0,-3.5,3.5,44.5,-6,6,42.5,8.7,6,19,-4.7,4,-19,27,-6.6,-15.3,28,28,-26.1,17,0.6,28,-8.5,1,1,0,2,0,0,1,1,0,1,0,2,0,-2,-1,-1,-1
3,DAL,SEA,31,38,-7,69,64,3,7,7,0,0,3,-3,56,5.5,-5.5,56.5,6.1,9,11,6.9,15,-0.8,22,-3.7,11.6,5,2,34.9,24,9.9,1,9.1,0,2,0,2,0,0,1,1,0,1,2,0,0,2,1,1,1
3,GB,NO,37,30,7,67,72,0,7,6,0,0,4.5,-4.5,54.5,3.5,-3.5,52,3.5,10,1,36.7,26,12,12,0.8,20.2,2,12,6.5,10,-6.8,4,5.3,2,0,0,1,1,0,2,0,0,2,1,1,0,-1,-1,-1,1
3,KC,BAL,34,20,14,54,72,8,8,8,0,0,1.5,-1.5,52,3.5,-3.5,55,18.8,3,8,15.7,23,9.7,5,4.4,20.8,1,5,23.3,3,-31.1,3,6.2,1,1,0,2,0,0,2,0,0,2,2,0,0,2,-1,-1,-1
4,DEN,NYJ,37,28,9,65,65,4,4,4,0,0,-2,2,41,1,-1,41,-21.1,32,30,-35.7,22,5.9,32,-9,-19.4,31,31,-37.8,14,0.6,29,-5.8,2,1,0,0,3,0,0,3,0,-3,0,3,0,-3,-1,-1,1
4,IND,CHI,19,11,8,30,49,12,7,7,0,0,-1,1,45,-3.5,3.5,43,13,5,18,-0.7,1,-32.3,10,3.6,-3.1,19,26,-14.1,6,-13.6,22,-2.5,2,1,0,2,1,0,2,1,0,2,3,0,0,3,-1,-1,-1
4,NO,DET,35,29,6,64,72,0,7,7,0,0,-5.5,5.5,56,-3,3,52.5,16.8,2,10,8.5,12,-2.5,8,3.8,-1.2,17,22,-3.9,27,11.5,3,5.7,1,2,0,1,2,0,1,2,0,-2,1,2,0,1,-1,-1,1
4,ARI,CAR,21,31,-10,52,65,5,7,7,0,0,-4,4,51,-3,3,52,0.6,16,24,-8.9,7,-8.5,16,-0.3,-17.4,29,20,-1.7,30,16.6,14,0.3,2,1,0,1,2,0,2,1,0,-1,1,2,0,1,1,1,0
4,JAX,CIN,25,33,-8,58,66,8,10,7,0,0,3,-3,48,1,-1,49,-9.3,25,7,13.4,29,14.4,26,-4.1,-13.2,26,27,-18.8,9,-5.5,6,4.8,2,1,0,2,1,0,1,2,0,-2,0,2,1,0,1,1,1
4,CLE,DAL,49,38,11,87,73,11,7,7,0,0,5.5,-5.5,54,3.5,-3.5,56.5,-5.6,23,25,-9,8,-5.9,28,-5.5,5.4,10,12,5.5,17,2.8,17,-1.2,1,2,0,0,3,0,2,1,0,2,1,2,0,-1,-1,-1,1
4,MIN,HOU,31,23,8,54,79,2,7,7,0,0,3,-3,49.5,3.5,-3.5,52.5,-4.1,22,23,-5,19,4,21,-2.5,-3.7,21,21,-2.7,26,9.4,12,1.2,1,2,0,0,3,0,0,3,0,-3,0,3,0,-3,-1,-1,1
4,SEA,MIA,31,23,8,54,86,13,7,10,0,0,-7,7,54,-4,4,55,11.8,7,3,27.3,23,7.3,2,6.7,-14.4,27,15,2.3,32,20.1,4,5.5,3,0,0,2,1,0,3,0,0,3,1,2,0,1,-1,-1,-1
4,LAC,TB,31,38,-7,69,75,7,7,7,0,0,5,-5,45.5,7,-7,42,-1.5,18,17,1.8,11,-2.5,23,-3.1,12.5,6,16,2.2,2,-28.6,27,-5.4,2,1,0,2,1,0,1,2,0,-2,2,1,0,2,0,1,1
4,BAL,WAS,31,17,14,48,66,4,6,7,0,0,-13,13,47,-14,14,44.5,16,3,13,4.9,10,-4.8,1,14.5,-18,30,29,-35.3,4,-23.1,19,-1.8,2,1,0,1,2,0,2,1,0,-1,1,2,0,-2,0,-1,1
4,NYG,LAR,9,17,-8,26,72,0,7,7,0,0,10,-10,47,13.5,-13.5,50,-14.4,28,32,-43,18,3.4,5,5.2,8.6,8,1,34.6,21,5.4,31,-8.1,1,2,0,2,1,0,0,3,0,-3,2,1,0,-1,-1,1,-1
4,BUF,LV,30,23,7,53,72,0,7,7,0,0,-1.5,1.5,49.5,-3,3,52.5,2,15,6,22.2,24,8.8,11,3.1,-6.1,24,9,8.9,31,18.3,20,-2.2,2,1,0,2,1,0,3,0,0,3,2,1,0,-1,-1,-1,1
4,PHI,SF,25,20,5,45,84,6,7,7,0,0,5.5,-5.5,45.5,8,-8,45.5,-3.1,20,28,-34.2,15,1.9,9,3.7,6.8,9,8,11.3,5,-18.9,15,-0.1,0,3,0,2,1,0,0,2,1,0,2,1,0,2,-1,-1,-1
4,ATL,GB,16,30,-14,46,53,12,8,8,0,0,6,-6,58,5,-5,56.5,2,14,19,-0.8,20,4.5,24,-3.4,4.2,11,2,27.8,28,11.7,7,4.4,1,2,0,3,0,0,0,3,0,-3,3,0,0,3,1,1,-1
4,NE,KC,10,26,-16,36,70,11,8,7,0,0,11.5,-11.5,50,11.5,-11.5,48.5,2.5,12,4,26.9,25,9.1,25,-3.8,19.6,1,5,25.2,13,-0.1,30,-8.1,2,1,0,2,1,0,2,1,0,1,3,0,0,3,1,1,-1
5,TB,CHI,19,20,-1,39,57,6,4,4,0,0,-3,3,45.5,-3.5,3.5,44,15.2,4,7,9,2,-24.1,25,-3.1,-4.9,22,27,-15.5,7,-10.6,30,-4.3,2,1,1,2,2,0,3,1,0,3,3,1,0,-1,1,1,-1
5,CAR,ATL,23,16,7,39,72,0,7,6,1,0,3.5,-3.5,54.5,2.5,-2.5,54,-11.7,26,14,5.8,28,9.8,19,-1.6,-0.5,14,21,-1.8,25,7.9,28,-3.8,2,2,0,1,3,0,2,2,0,2,0,4,0,-4,-1,-1,-1
5,LAR,WAS,30,10,20,40,70,3,7,7,0,0,-9.5,9.5,46,-7,7,44.5,8.3,8,2,22.6,15,0.5,31,-6.6,-18.5,32,29,-28.3,4,-13.9,24,-2.8,2,2,0,1,2,1,3,1,0,1,1,3,0,-3,-1,-1,-1
5,JAX,HOU,14,30,-16,44,85,7,7,7,1,0,6.5,-6.5,52.5,6,-6,54.5,-7.8,25,6,16.9,32,16.2,20,-2,-3.4,21,20,0.3,27,9,12,1.3,2,2,0,0,4,0,1,3,0,-3,0,4,0,-4,1,1,-1
5,ARI,NYJ,30,10,20,40,65,7,7,10,0,0,-8.5,8.5,46,-7,7,48.5,-2.3,17,25,-7.6,19,2.2,16,-0.1,-16.6,31,28,-28.3,10,-5.3,26,-3.5,2,2,0,0,4,0,2,2,0,-2,0,4,0,-4,-1,-1,-1
5,PHI,PIT,29,38,-9,67,69,5,7,14,0,0,7,-7,46.5,7.5,-7.5,44.5,-5.3,23,31,-34.2,14,-0.5,8,4,11.4,7,18,1.4,3,-18.5,13,0.8,1,3,0,2,1,0,1,2,1,1,3,0,0,3,1,1,1
5,CIN,BAL,3,27,-24,30,69,5,7,7,1,0,13,-13,50.5,12.5,-12.5,49.5,-12.1,27,26,-9.8,16,0.8,7,4.2,17.7,3,11,6.1,9,-7.3,1,13.6,3,1,0,2,1,1,1,2,1,1,3,1,0,1,1,1,-1
5,MIA,SF,43,17,26,60,73,8,7,7,0,0,9,-9,48.5,8,-8,50.5,-14.1,28,22,-2.9,31,16,2,6.8,7.3,9,15,4.8,6,-12.1,15,0.1,2,2,0,2,2,0,1,3,0,-1,2,2,0,-1,-1,-1,1
5,NYG,DAL,34,37,-3,71,94,10,7,7,1,0,11.5,-11.5,53,7.5,-7.5,52.5,-14.5,29,32,-39.7,11,-2.3,5,5,3.6,12,12,6.1,24,7.9,17,-1.4,2,2,0,0,4,0,0,4,0,-4,1,3,0,-2,-1,1,1
5,IND,CLE,23,32,-9,55,63,13,7,7,0,0,-2.5,2.5,47,1,-1,48.5,12.3,6,24,-5.5,1,-25.7,4,5.1,-2.6,19,9,7.5,17,1.2,27,-3.8,3,1,0,2,2,0,3,1,0,3,3,1,0,3,1,1,1
5,MIN,SEA,26,27,-1,53,56,13,7,7,0,0,9.5,-9.5,58,6.5,-6.5,54,-0.7,15,16,4.5,13,-0.7,23,-2.7,12.5,5,3,22.3,21,3.8,3,5.4,2,2,0,4,0,0,1,3,0,1,4,0,0,4,-1,1,-1
5,LAC,NO,27,30,-3,57,72,0,8,8,0,0,7.5,-7.5,52,7,-7,49,-3.2,20,19,1.1,20,2.4,29,-4,19.6,2,8,8.3,8,-7.6,10,2.7,2,1,1,2,2,0,1,3,0,-3,2,2,0,1,-1,1,1
5,BUF,TEN,16,42,-26,58,66,2,9,16,0,0,-2,2,54,-3,3,52,6.3,11,5,19.5,22,5.7,11,2.5,2.1,13,13,5.9,18,2,18,-1.6,3,1,0,0,3,0,4,0,0,4,3,0,0,3,1,1,1
6,CHI,CAR,23,16,7,39,61,4,10,7,0,0,2.5,-2.5,44.5,2,-2,45,-4.1,22,26,-14.7,5,-9.7,24,-2.5,-8.8,26,7,8.2,25,6.4,21,-1.8,3,2,0,3,2,0,4,1,0,1,3,2,0,3,-1,-1,-1
